Aggregate_Date,Platform,Country_ID,Download_MBPS,Upload_MBPS,Latency_MS,Jitter,Rank,Month,PrevMonth,Country_Name
2024-04-01,Mobile,173,72.56,17.81,27,28,73,2024-04,2024-03,Uganda
2024-04-01,Mobile,198,71.92,16.46,59,37,74,2024-04,2024-03,Zimbabwe
2024-04-01,Mobile,225,67.72,20.82,23,22,75,2024-04,2024-03,Serbia
2024-04-01,Mobile,42,67.01,20.21,30,16,76,2024-04,2024-03,Turkey
2024-04-01,Mobile,100,64.41,15.84,28,23,77,2024-04,2024-03,Uzbekistan
2024-04-01,Mobile,110,64.08,19.16,24,17,78,2024-04,2024-03,Azerbaijan
2024-04-01,Mobile,16,63.06,17.19,53,31,79,2024-04,2024-03,Mexico
2024-04-01,Mobile,90,62.54,22.20,26,16,80,2024-04,2024-03,Vietnam
2024-04-01,Mobile,160,62.50,17.55,24,29,81,2024-04,2024-03,Guyana
2024-04-01,Mobile,24,61.11,15.55,39,36,82,2024-04,2024-03,Colombia
2024-04-01,Mobile,101,60.62,16.04,29,26,83,2024-04,2024-03,Morocco
2024-04-01,Mobile,85,60.12,18.86,28,33,84,2024-04,2024-03,Georgia
2024-04-01,Mobile,37,58.74,13.47,36,28,85,2024-04,2024-03,Iran
2024-04-01,Mobile,41,57.16,11.39,37,23,86,2024-04,2024-03,Argentina
2024-04-01,Mobile,128,56.26,14.72,35,32,87,2024-04,2024-03,Kenya
2024-04-01,Mobile,35,56.13,14.85,29,23,88,2024-04,2024-03,Costa Rica
2024-04-01,Mobile,58,55.51,15.19,33,36,89,2024-04,2024-03,Tanzania
2024-04-01,Mobile,94,54.44,18.97,20,17,90,2024-04,2024-03,Jordan
2024-04-01,Mobile,143,54.29,17.27,31,28,91,2024-04,2024-03,Laos
2024-04-01,Mobile,82,53.74,17.43,24,22,92,2024-04,2024-03,Moldova
2024-04-01,Mobile,73,52.50,16.43,67,35,93,2024-04,2024-03,Honduras
2024-04-01,Mobile,120,47.02,18.12,34,29,94,2024-04,2024-03,Côte d'Ivoire
2024-04-01,Mobile,104,45.04,13.12,27,24,95,2024-04,2024-03,Lebanon
2024-04-01,Mobile,119,44.18,15.69,26,27,96,2024-04,2024-03,Kyrgyzstan
2024-04-01,Mobile,66,44.05,12.01,27,38,97,2024-04,2024-03,Jamaica
